station_name,waterbody_name,county_name,lease_num,station_latitude,station_longitude,station_notes
0001,Country Harbour,Guysborough,0001,45.18561,-61.71676,NA
0028,Marie Joseph Harbour,Guysborough,0028,44.9625,-62.06083,NA
0193,Denas Pond,Inverness,0193,46.00718,-60.98854,NA
0622,Country Harbour,Guysborough,0622,45.23194,-61.76,NA
0667,Arichat Harbour,Richmond,0667,45.49341,-61.01947,NA
0716 Center,Arichat Harbour,Richmond,0716,45.50135,-61.04197,NA
0745,Nyanza Bay,Victoria,NA,46.0854,-60.89284,NA
0778,St. Peters Inlet,Richmond,NA,45.66183,-60.84761,NA
0814x E,Whycocomagh Basin,Inverness,0814x,45.95126,-61.12071,NA
0814x W,Whycocomagh Basin,Inverness,0814x,45.94547,-61.12917,NA
0994,St. Peters Inlet,Richmond,NA,45.65533,-60.84581,NA
1012,St. Marys Bay,Digby,1012,44.4071,-66.16053,NA
1042,Annapolis Basin,Annapolis,1042,44.65286,-65.67453,NA
1147,McNabs Bay,Colchester,NA,45.7566,-63.35891,NA
1199,Whitehead Harbour,Guysborough,1199,45.27429,-61.12844,May be distinct from Northeast Branch
1307,Country Harbour,Guysborough,1307,45.16007,-61.68006,NA
1323,Sober Island Pond,Halifax,1323,44.84519,-62.46629,NA
1330,Mabou Harbour,Inverness,1330,46.08417,-61.45722,NA
1331,Mabou Harbour,Inverness,1331,46.07547,-61.44736,NA
1369,Merigomish Harbour,Pictou,NA,45.652013,-62.431102,"Initially deployed for Ramon. No data recorded for initial deployment, so lat/long updated to match later aquaHub deployment"
1442,Antigonish Harbour,Antigonish,NA,45.671617,-61.892617,NA
1443,Antigonish Harbour,Antigonish,NA,45.67901667,-61.89558333,NA
5004,Annapolis Basin,Annapolis,NA,44.67657,-65.69118,NA
5005,Annapolis Basin,Annapolis,5005,44.63417,-65.71193,NA
5006,Annapolis Basin,Annapolis,5006,44.66958,-65.64773,NA
5007,St. Marys Bay,Digby,5007,44.53912,-65.95798,NA
5008,St. Marys Bay,Digby,5008,44.50384,-65.9323,NA
Aberdeen,Whycocomagh Bay,Inverness,NA,45.97608,-61.02268,NA
Antigonish 1,Grahams Cove,Antigonish,NA,45.67768,-61.91248,NA
Antigonish 2,Grahams Cove,Antigonish,NA,45.67762,-61.91265,NA
Antigonish 3,Grahams Cove,Antigonish,NA,45.67756,-61.91282,NA
